date,cs_999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw,total
2015-01-01,530,35,10,24,31,141,36,16,3,7,24,97,13,14,2,1,0,1,0,985
2015-02-01,379,14,5,32,57,23,37,18,2,6,14,39,22,13,2,1,0,0,0,664
2015-03-01,502,18,6,22,55,16,32,18,2,8,16,53,24,35,1,4,0,3,0,815
2015-04-01,441,9,10,20,27,23,32,10,6,8,16,62,20,25,2,0,0,1,0,712
2015-05-01,400,15,2,32,29,9,29,9,12,4,20,40,19,11,0,2,1,5,0,639
2015-06-01,401,16,1,32,32,17,26,16,4,5,8,25,19,18,1,3,0,6,0,630
2015-07-01,403,19,5,25,14,13,43,21,4,3,19,46,19,11,2,1,0,1,0,649
2015-08-01,508,20,9,27,25,34,34,12,4,3,15,51,25,22,2,0,1,2,0,794
2015-09-01,558,16,14,28,28,26,35,17,5,4,22,62,20,25,4,3,0,0,1,868
2015-10-01,488,17,5,32,31,21,44,15,5,4,21,56,17,16,0,3,1,3,2,781
2015-11-01,334,12,2,17,22,12,44,6,4,11,17,44,8,15,1,5,0,1,0,555
2015-12-01,432,20,7,74,32,24,33,14,7,3,15,57,24,19,4,4,0,4,1,774
2016-01-01,432,18,6,72,31,32,38,16,5,3,24,43,24,23,1,0,0,3,5,776
2016-02-01,387,23,6,30,21,43,65,12,4,8,26,28,17,21,4,4,1,1,0,701
2016-03-01,477,17,8,21,37,37,36,10,2,7,15,47,15,8,1,4,0,1,0,743
2016-04-01,443,27,10,25,23,29,44,19,6,3,12,51,20,27,2,3,0,2,0,746
2016-05-01,424,16,7,25,15,57,53,17,4,5,17,49,14,9,3,2,0,1,0,718
2016-06-01,425,27,3,13,15,38,34,24,2,33,23,34,17,28,0,0,0,1,0,717
2016-07-01,325,13,1,11,10,47,24,11,2,9,7,48,16,16,3,6,1,0,2,552
2016-08-01,339,12,11,16,27,142,27,7,3,21,20,46,9,7,5,3,1,0,3,699
2016-09-01,377,19,11,38,41,35,37,12,2,9,6,66,15,25,5,1,0,0,2,701
2016-10-01,423,26,4,25,23,18,37,11,10,3,13,73,19,22,1,1,0,0,0,709
2016-11-01,321,12,5,35,28,32,33,15,7,12,12,43,24,13,1,2,0,1,0,596
2016-12-01,460,18,9,9,23,18,42,17,11,3,19,66,20,22,2,5,0,3,7,754
2017-01-01,628,27,11,40,47,20,62,15,14,6,21,68,32,35,2,1,0,5,0,1034
2017-02-01,660,38,3,31,59,14,93,31,11,13,23,80,33,49,6,10,0,2,2,1158
2017-03-01,594,19,17,23,28,8,75,24,14,4,5,109,45,22,1,2,0,0,1,991
2017-04-01,369,20,6,19,16,11,30,13,5,9,7,56,24,18,3,4,0,1,2,613
2017-05-01,414,14,8,18,17,21,43,18,7,9,7,52,25,24,1,1,1,4,1,685
2017-06-01,812,28,7,24,34,7,70,23,5,13,26,73,93,25,2,0,0,7,2,1251
2017-07-01,1005,41,30,95,145,11,140,86,29,13,44,312,95,151,4,1,0,11,126,2339
2017-08-01,952,62,14,36,37,16,149,113,31,32,24,317,88,94,1,25,0,5,4,2000
2017-09-01,1018,33,10,59,61,21,115,125,14,3,25,265,139,50,3,18,0,2,3,1964
2017-10-01,763,28,16,26,28,11,82,98,5,4,30,266,57,44,3,7,0,2,4,1474
2017-11-01,899,37,6,31,42,37,66,65,4,4,27,273,51,69,7,1,0,0,0,1619
2017-12-01,1122,24,10,36,80,15,60,70,16,3,54,244,43,50,13,4,0,2,7,1853
2018-01-01,787,28,17,21,62,11,69,13,15,12,25,245,32,70,4,21,0,12,7,1451
2018-02-01,707,24,4,15,38,21,36,48,9,6,11,283,40,37,4,4,0,3,0,1290
2018-03-01,1212,39,19,67,55,21,87,27,20,23,24,292,75,45,6,12,0,3,3,2030
2018-04-01,785,41,7,29,53,34,108,28,6,9,21,133,27,28,2,6,0,7,3,1327
2018-05-01,534,17,4,18,26,13,79,25,10,7,13,180,53,23,1,6,1,4,0,1014
2018-06-01,686,27,9,25,46,41,73,50,7,8,39,96,21,67,3,2,0,4,1,1205
2018-07-01,869,21,5,25,25,65,101,53,7,10,31,74,51,89,51,4,0,10,40,1531
2018-08-01,880,25,4,24,87,71,117,72,51,27,23,99,96,99,10,9,2,0,3,1699
2018-09-01,1599584,10572,5663,12758,11301,8190,28557,15315,5162,2892,7135,41683,9225,11155,1705,1353,820,411,5405,1778886
2018-10-01,553,19,21,24,29,52,45,99,6,8,20,66,84,36,0,2,0,2,1,1067
2018-11-01,726,39,27,32,44,38,88,28,9,37,85,75,172,37,6,1,0,6,0,1450
2018-12-01,494,82,5,36,40,24,48,52,3,3,13,54,54,40,3,4,0,3,0,958
2019-01-01,558,16,5,25,59,30,62,102,3,34,18,66,47,65,6,5,0,3,2,1106
2019-02-01,627,46,4,24,118,36,68,68,44,65,14,61,96,48,9,6,0,0,1,1335
2019-03-01,760,19,19,29,39,48,61,28,5,90,32,87,73,76,6,4,0,8,0,1384
2019-04-01,414,21,7,20,35,18,73,282,2,7,44,45,38,38,4,2,0,2,0,1052
2019-05-01,556,18,4,30,36,18,55,96,3,12,10,57,59,60,0,2,0,18,5,1039
2019-06-01,795,13,8,21,49,16,68,66,9,19,38,119,35,54,1,59,0,1,4,1375
2019-07-01,726,16,17,47,57,37,77,52,6,10,129,101,80,75,2,2,0,2,0,1436
2019-08-01,733,38,5,52,36,13,93,29,9,3,27,111,62,41,3,1,0,13,4,1273
2019-09-01,848,29,15,72,47,20,72,26,10,13,30,101,17,33,8,7,1,8,6,1363
2019-10-01,796,31,14,38,20,16,72,42,2,5,24,127,36,48,5,4,0,4,2,1286
2019-11-01,829,27,14,37,35,19,73,34,14,21,25,103,45,56,8,2,0,5,4,1351
2019-12-01,720,28,12,57,68,30,51,29,12,7,13,85,33,29,1,2,0,9,3,1189
2020-01-01,735,40,14,49,57,32,65,35,2,15,38,69,38,66,6,2,3,12,5,1283
2020-02-01,823,27,1,31,26,47,59,47,7,14,46,86,58,42,7,22,0,1,6,1350
2020-03-01,29351,1473,567,2195,2231,1818,3077,829,398,544,790,4386,1283,1374,165,164,10,146,76,50877
2020-04-01,576,8,4,16,11,5,41,15,9,25,7,48,19,12,3,2,0,3,5,809
2020-05-01,151,1,3,3,3,2,11,1,1,9,0,1,5,7,1,0,0,1,0,200
